,year,month,temperature
78134,1917,5,22.322
78135,1917,6,22.166
78136,1917,7,22.389
78137,1917,8,23.151
78138,1917,9,24.684
78139,1917,10,24.532
78140,1917,11,24.911
78141,1917,12,24.448
78142,1918,1,24.455
78143,1918,2,24.341
78144,1918,3,24.561
78145,1918,4,24.25500000000001
78146,1918,5,23.935
78147,1918,6,23.02
78148,1918,7,22.71
78149,1918,8,23.668000000000003
78150,1918,9,24.983
78151,1918,10,25.234
78152,1918,11,25.446
78153,1918,12,25.106
78154,1919,1,25.343000000000004
78155,1919,2,25.531
78156,1919,3,25.48
78157,1919,4,25.174
78158,1919,5,24.824
78159,1919,6,23.73
78160,1919,7,23.428
78161,1919,8,23.399
78162,1919,9,25.121
78163,1919,10,25.548
78164,1919,11,25.385
78165,1919,12,25.078000000000003
78166,1920,1,25.28700000000001
78167,1920,2,25.245
78168,1920,3,25.075
78169,1920,4,24.704
78170,1920,5,23.575
78171,1920,6,22.782
78172,1920,7,22.606
78173,1920,8,23.371
78174,1920,9,24.753
78175,1920,10,25.416
78176,1920,11,25.305
78177,1920,12,24.8
78178,1921,1,24.897
78179,1921,2,24.975
78180,1921,3,25.003
78181,1921,4,24.122
78182,1921,5,24.044
78183,1921,6,21.797
78184,1921,7,21.865
78185,1921,8,24.311
78186,1921,9,24.784
78187,1921,10,25.185
78188,1921,11,24.974
78189,1921,12,25.358
78190,1922,1,25.221
78191,1922,2,25.202
78192,1922,3,25.083
78193,1922,4,24.672
78194,1922,5,23.828000000000003
78195,1922,6,23.044
78196,1922,7,22.88
78197,1922,8,24.346
78198,1922,9,25.154
78199,1922,10,24.687
78200,1922,11,25.074
78201,1922,12,24.813
78202,1923,1,24.752
78203,1923,2,24.85
78204,1923,3,24.903
78205,1923,4,24.493
78206,1923,5,23.248
78207,1923,6,23.128
78208,1923,7,22.171
78209,1923,8,23.986
78210,1923,9,24.953000000000003
78211,1923,10,25.046
78212,1923,11,25.203000000000003
78213,1923,12,25.563
78214,1924,1,25.392000000000003
78215,1924,2,25.132
78216,1924,3,25.456
78217,1924,4,24.783
78218,1924,5,23.719
78219,1924,6,23.246
78220,1924,7,22.898000000000003
78221,1924,8,23.031
78222,1924,9,24.849
78223,1924,10,24.516
78224,1924,11,25.272
78225,1924,12,24.884
78226,1925,1,24.718000000000004
78227,1925,2,24.871
78228,1925,3,24.786
78229,1925,4,25.06
78230,1925,5,24.076
78231,1925,6,22.790000000000006
78232,1925,7,22.811
78233,1925,8,24.516
78234,1925,9,24.914
78235,1925,10,24.983
78236,1925,11,25.37
78237,1925,12,25.557
78238,1926,1,25.577
78239,1926,2,25.687
78240,1926,3,25.696
78241,1926,4,24.904
78242,1926,5,23.936
78243,1926,6,24.021
78244,1926,7,22.748
78245,1926,8,24.398000000000003
78246,1926,9,25.868
78247,1926,10,25.763
78248,1926,11,26.114
78249,1926,12,25.391
78250,1927,1,25.428
78251,1927,2,25.154
78252,1927,3,25.303
78253,1927,4,24.66
78254,1927,5,23.76
78255,1927,6,22.777
78256,1927,7,22.57
78257,1927,8,24.196
78258,1927,9,25.209
78259,1927,10,25.639
78260,1927,11,26.048
78261,1927,12,25.678
78262,1928,1,25.455
78263,1928,2,25.78700000000001
78264,1928,3,25.639
78265,1928,4,25.295
78266,1928,5,24.46
78267,1928,6,23.794
78268,1928,7,23.199
78269,1928,8,23.705
78270,1928,9,25.124
78271,1928,10,25.504
78272,1928,11,25.954
78273,1928,12,25.351
78274,1929,1,25.5
78275,1929,2,25.236
78276,1929,3,25.079
78277,1929,4,24.391
78278,1929,5,23.35
78279,1929,6,23.031
78280,1929,7,23.047
78281,1929,8,24.393
78282,1929,9,25.364
78283,1929,10,25.63000000000001
78284,1929,11,25.668000000000003
78285,1929,12,25.043000000000003
78286,1930,1,25.411
78287,1930,2,25.28
78288,1930,3,25.551
78289,1930,4,24.527
78290,1930,5,24.231
78291,1930,6,23.905
78292,1930,7,23.218000000000004
78293,1930,8,24.447
78294,1930,9,25.074
78295,1930,10,25.434
78296,1930,11,25.484
78297,1930,12,25.564
78298,1931,1,25.96
78299,1931,2,25.66200000000001
78300,1931,3,25.499
78301,1931,4,25.126
78302,1931,5,23.755
78303,1931,6,23.0
78304,1931,7,23.165
78305,1931,8,23.908
78306,1931,9,24.911
78307,1931,10,25.519
78308,1931,11,25.449
78309,1931,12,25.601
78310,1932,1,25.045
78311,1932,2,25.555000000000003
78312,1932,3,25.358
78313,1932,4,25.403
78314,1932,5,24.202
78315,1932,6,23.700000000000006
78316,1932,7,23.705
78317,1932,8,24.047
78318,1932,9,25.324
78319,1932,10,25.753
78320,1932,11,25.964
78321,1932,12,25.616
78322,1933,1,25.46
78323,1933,2,25.442
78324,1933,3,25.289
78325,1933,4,24.442
78326,1933,5,23.988000000000003
78327,1933,6,22.733
78328,1933,7,22.691
78329,1933,8,24.248
78330,1933,9,25.468000000000004
78331,1933,10,25.33
78332,1933,11,25.057
78333,1933,12,25.202
78334,1934,1,24.945
78335,1934,2,24.884
78336,1934,3,25.119
78337,1934,4,24.59800000000001
78338,1934,5,23.896
78339,1934,6,23.64
78340,1934,7,23.088
78341,1934,8,24.382
78342,1934,9,25.158
78343,1934,10,24.94100000000001
78344,1934,11,25.678
78345,1934,12,25.454
